District,State,Area_km2,Population
Hanumangarh,Rajasthan,9656,"17,74,692"
Haora,West Bengal,1467,"48,50,029"
Harda,Madhya Pradesh,3334,"5,70,465"
Hardoi,Uttar Pradesh,5986,"40,92,845"
Hardwar,#N/A,2360,"18,90,422"
Hassan,Karnataka,6814,"17,76,421"
Haveri,Karnataka,4823,"15,97,668"
Hazaribagh,Jharkhand,3555,"17,34,495"
Hingoli,Maharashtra,4827,"11,77,345"
Hisar,Haryana,3983,"17,43,931"
Hoshangabad,Madhya Pradesh,6703,"12,41,350"
Hoshiarpur,Punjab,3386,"15,86,625"
Hugli,West Bengal,3149,"55,19,145"
Hyderabad,Andhra Pradesh,217,"39,43,323"
Idukki,Kerala,4356,"11,08,974"
Imphal East,Manipur,709,"4,56,113"
Imphal West,Manipur,519,"5,17,992"
Indore,Madhya Pradesh,3898,"32,76,697"
Jabalpur,Madhya Pradesh,5211,"24,63,289"
Jagatsinghapur,Orissa,1668,"11,36,971"
Jaintia Hills,Meghalaya,3819,"3,95,124"
Jaipur,Rajasthan,11143,"66,26,178"
Jaisalmer,Rajasthan,38401,"6,69,919"
Jajapur,Orissa,2899,"18,27,192"
Jalandhar,Punjab,2624,"21,93,590"
Jalaun,Uttar Pradesh,4565,"16,89,974"
Jalgaon,Maharashtra,11765,"42,29,917"
Jalna,Maharashtra,7718,"19,59,046"
Jalor,Rajasthan,10640,"18,28,730"
Jalpaiguri,West Bengal,6227,"38,72,846"
Jammu,Jammu and Kashmir,2342,"15,29,958"
Jamnagar,Gujarat,14184,"21,60,119"
Jamtara,Jharkhand,1811,"7,91,042"
Jamui,Bihar,3098,"17,60,405"
Janjgir - Champa,#N/A,3853,"16,19,707"
Jashpur,Chhattisgarh,5838,"8,51,669"
Jaunpur,Uttar Pradesh,4038,"44,94,204"
Jehanabad,Bihar,931,"11,25,313"
Jhabua,Madhya Pradesh,3600,"10,25,048"
Jhajjar,Haryana,1834,"9,58,405"
Jhalawar,Rajasthan,6219,"14,11,129"
Jhansi,Uttar Pradesh,5024,"19,98,603"
Jharsuguda,Orissa,2114,"5,79,505"
Jhunjhunun,Rajasthan,5928,"21,37,045"
Jind,Haryana,2702,"13,34,152"
Jodhpur,Rajasthan,22850,"36,87,165"
Jorhat,Assam,2851,"10,92,256"
Junagadh,Gujarat,8831,"27,43,082"
Jyotiba Phule Nagar,Uttar Pradesh,2249,"18,40,221"
Kabirdham,Chhattisgarh,4235,"8,22,526"
Kachchh,Gujarat,45674,"20,92,371"
Kaimur,Bihar,3332,"16,26,384"
Kaithal,Haryana,2317,"10,74,304"
Kalahandi,Orissa,7920,"15,76,869"
Kamrup,Assam,3105,"15,17,542"
Kamrup Metropolitan,Assam,955,"12,53,938"
Kancheepuram,Tamil Nadu,4483,"39,98,252"
Kandhamal,Orissa,8021,"7,33,110"
Kangra,Himachal Pradesh,5739,"15,10,075"
Kanker (Uttar Bastar Kanker),#N/A,7161,"7,48,941"
Kannauj,Uttar Pradesh,2093,"16,56,616"
Kanniyakumari,Tamil Nadu,1684,"18,70,374"
Kannur,Kerala,2961,"25,23,003"
Kanpur Dehat,#N/A,3021,"17,96,184"
Kanpur Nagar,Uttar Pradesh,3155,"45,81,268"
Kanshiram Nagar,Uttar Pradesh,1955,"14,36,719"
Kapurthala,Punjab,1633,"8,15,168"
Karaikal,Puducherry,157,"2,00,222"
Karauli,Rajasthan,5524,"14,58,248"
Karbi Anglong,Assam,10434,"9,56,313"
Kargil,Jammu and Kashmir,14036,"1,40,802"
Karimganj,Assam,1809,"12,28,686"
Karimnagar,Andhra Pradesh,11823,"37,76,269"
Karnal,Haryana,2520,"15,05,324"
Karur,Tamil Nadu,2904,"10,64,493"
Kasaragod,Kerala,1989,"13,07,375"
Kathua,Jammu and Kashmir,2502,"6,16,435"
Katihar,Bihar,3057,"30,71,029"
Katni,Madhya Pradesh,4950,"12,92,042"
Kaushambi,Uttar Pradesh,1779,"15,99,596"
Kendrapara,Orissa,2644,"14,40,361"
Kendujhar,Orissa,8303,"18,01,733"
Khagaria,Bihar,1486,"16,66,886"
Khammam,Andhra Pradesh,16029,"27,97,370"
Khandwa,#N/A,7352,"13,10,061"
Khargone,#N/A,8025,"18,73,046"
Kheda,Gujarat,3953,"22,99,885"
Kheri,Uttar Pradesh,7680,"40,21,243"
Khordha,Orissa,2813,"22,51,673"
Khunti,Jharkhand,2535,"5,31,885"
Kinnaur,Himachal Pradesh,6401,"84,121"
Kiphire,Nagaland,1130,"74,004"
Kishanganj,Bihar,1884,"16,90,400"
Kishtwar,Jammu and Kashmir,1644,"2,30,696"
Koch Bihar,West Bengal,3387,"28,19,086"
Kodagu,Karnataka,4102,"5,54,519"
Kodarma,Jharkhand,2540,"7,16,259"
Kohima,Nagaland,1463,"2,67,988"
Kokrajhar,Assam,3296,"8,87,142"
Kolar,Karnataka,3979,"15,36,401"
Kolasib,Mizoram,1382,"83,955"
Kolhapur,Maharashtra,7685,"38,76,001"
Kolkata,West Bengal,185,"44,96,694"
Kollam,Kerala,2483,"26,35,375"
Koppal,Karnataka,5570,"13,89,920"
Koraput,Orissa,8807,"13,79,647"
Korba,Chhattisgarh,6598,"12,06,640"
Koriya,#N/A,6604,"6,58,917"
Kota,Rajasthan,5217,"19,51,014"
Kottayam,Kerala,2206,"19,74,551"
Kozhikode,Kerala,2345,"30,86,293"
Krishna,Andhra Pradesh,8727,"45,17,398"
Krishnagiri,Tamil Nadu,5129,"18,79,809"
Kulgam,Jammu and Kashmir,410,"4,24,483"
Kullu,Himachal Pradesh,5503,"4,37,903"
Kupwara,Jammu and Kashmir,2379,"8,70,354"
Kurnool,Andhra Pradesh,17658,"40,53,463"
Kurukshetra,Haryana,1530,"9,64,655"
Kurung Kumey,Arunachal Pradesh,6040,"92,076"
Kushinagar,Uttar Pradesh,2905,"35,64,544"
Lahul & Spiti,#N/A,13841,"31,564"
Lakhimpur,Assam,2277,"10,42,137"
Lakhisarai,Bihar,1228,"10,00,912"
Lakshadweep,Lakshadweep,30,"64,473"
Lalitpur,Uttar Pradesh,5039,"12,21,592"
Latehar,Jharkhand,4291,"7,26,978"
Latur,Maharashtra,7157,"24,54,196"
Lawngtlai,Mizoram,2557,"1,17,894"
Leh,Jammu and Kashmir,45110,"1,33,487"
Lohardaga,Jharkhand,1502,"4,61,790"
Lohit,Arunachal Pradesh,5212,"1,45,726"
Longleng,Nagaland,562,"50,484"
Lower Dibang Valley,Arunachal Pradesh,3900,"54,080"
Lower Subansiri,Arunachal Pradesh,3508,"83,030"
Lucknow,Uttar Pradesh,2528,"45,89,838"
Ludhiana,Punjab,3578,"34,98,739"
Lunglei,Mizoram,4536,"1,61,428"
Madhepura,Bihar,1788,"20,01,762"
Madhubani,Bihar,3501,"44,87,379"
Madurai,Tamil Nadu,3710,"30,38,252"
Mahamaya Nagar,Uttar Pradesh,1840,"15,64,708"
Maharajganj,Uttar Pradesh,2952,"26,84,703"
Mahasamund,Chhattisgarh,4790,"10,32,754"
Mahbubnagar,Andhra Pradesh,18432,"40,53,028"
Mahe,Puducherry,9,"41,816"
Mahendragarh,Haryana,1899,"9,22,088"
Mahesana,Gujarat,4401,"20,35,064"
Mahoba,Uttar Pradesh,3144,"8,75,958"
Mainpuri,Uttar Pradesh,2760,"18,68,529"
Malappuram,Kerala,3554,"41,12,920"
Maldah,West Bengal,3733,"39,88,845"
Malkangiri,Orissa,5791,"6,13,192"
Mamit,Mizoram,3025,"86,364"
Mandi,Himachal Pradesh,3950,"9,99,777"
Mandla,Madhya Pradesh,5800,"10,54,905"
Mandsaur,Madhya Pradesh,5535,"13,40,411"
Mandya,Karnataka,4962,"18,05,769"
Mansa,Punjab,2198,"7,69,751"
Mathura,Uttar Pradesh,3340,"25,47,184"
Mau,Uttar Pradesh,1713,"22,05,968"
Mayurbhanj,Orissa,10418,"25,19,738"
Medak,Andhra Pradesh,9699,"30,33,288"
Meerut,Uttar Pradesh,2559,"34,43,689"
Mewat,Haryana,1507,"10,89,263"
Mirzapur,Uttar Pradesh,4405,"24,96,970"
Moga,Punjab,2242,"9,95,746"
Mokokchung,Nagaland,1615,"1,94,622"
Mon,Nagaland,1786,"2,50,260"
Moradabad,Uttar Pradesh,3718,"47,72,006"
Morena,Madhya Pradesh,4989,"19,65,970"
Morigaon,Assam,1551,"9,57,423"
Muktsar,Punjab,2593,"9,01,896"
Mumbai,#N/A,157,"30,85,411"
Mumbai Suburban,Maharashtra,446,"93,56,962"
Munger,Bihar,1419,"13,67,765"
Murshidabad,West Bengal,5324,"71,03,807"
Muzaffarnagar,Uttar Pradesh,4008,"41,43,512"
Muzaffarpur,Bihar,3172,"48,01,062"
Mysore,Karnataka,6307,"30,01,127"
Nabarangapur,Orissa,5291,"12,20,946"
Nadia,West Bengal,3927,"51,67,600"
Nagaon,Assam,3973,"28,23,768"
Nagapattinam,Tamil Nadu,2569,"16,16,450"
Nagaur,Rajasthan,17718,"33,07,743"
Nagpur,Maharashtra,9892,"46,53,570"
Nainital,Uttarakhand,4251,"9,54,605"
Nalanda,Bihar,2355,"28,77,653"
Nalbari,Assam,1052,"7,71,639"
Nalgonda,Andhra Pradesh,14240,"34,88,809"
Namakkal,Tamil Nadu,3420,"17,26,601"
Nanded,Maharashtra,10528,"33,61,292"
Nandurbar,Maharashtra,5955,"16,48,295"
Narayanpur,Chhattisgarh,4653,"1,39,820"
Narmada,Gujarat,2817,"5,90,297"
Narsimhapur,Madhya Pradesh,5133,"10,91,854"
Nashik,Maharashtra,15530,"61,07,187"
Navsari,Gujarat,2246,"13,29,672"
Nawada,Bihar,2494,"22,19,146"
Nayagarh,Orissa,3890,"9,62,789"
Neemuch,Madhya Pradesh,4256,"8,26,067"
New Delhi,Delhi,35,"1,42,004"
Nicobars,Andaman And Nicobar Islands,1841,"36,842"
Nizamabad,Andhra Pradesh,7956,"25,51,335"
North,#N/A,61,"8,87,978"
North & Middle Andaman,#N/A,3736,"1,05,597"
North District,#N/A,4226,"43,709"
North East,#N/A,62,"22,41,624"
North Goa,Goa,1736,"8,18,008"
North Tripura,Tripura,2036,"6,93,947"
North Twenty Four Parganas,West Bengal,4094,"1,00,09,781"
North West,#N/A,443,"36,56,539"
Nuapada,Orissa,3852,"6,10,382"
Osmanabad,Maharashtra,7569,"16,57,576"
Pakur,Jharkhand,1811,"9,00,422"
Palakkad,Kerala,4482,"28,09,934"
Palamu,Jharkhand,4393,"19,39,869"
Pali,Rajasthan,12387,"20,37,573"
Palwal,Haryana,1359,"10,42,708"
Panchkula,Haryana,898,"5,61,293"
Panchmahal,Gujarat,5231,"23,90,776"
Panipat,Haryana,1268,"12,05,437"
Panna,Madhya Pradesh,7135,"10,16,520"
Papum Pare,#N/A,3462,"1,76,573"
Parbhani,Maharashtra,6214,"18,36,086"
Paschim Medinipur,West Bengal,9368,"59,13,457"
Pashchim Champaran,Bihar,5228,"39,35,042"
Pashchimi Singhbhum,Jharkhand,7224,"15,02,338"
Patan,Gujarat,5792,"13,43,734"
Pathanamthitta,Kerala,2652,"11,97,412"
Patiala,Punjab,3325,"18,95,686"
Patna,Bihar,3202,"58,38,465"
Perambalur,Tamil Nadu,1756,"5,65,223"
Peren,Nagaland,1651,"95,219"
Phek,Nagaland,2026,"1,63,418"
Pilibhit,Uttar Pradesh,3686,"20,31,007"
Pithoragarh,Uttarakhand,7090,"4,83,439"
Porbandar,Gujarat,2316,"5,85,449"
Prakasam,Andhra Pradesh,17626,"33,97,448"
Pratapgarh,Uttar Pradesh,4449,"8,67,848"
Pratapgarh,Uttar Pradesh,3717,"32,09,141"
Puducherry,Puducherry,294,"9,50,289"
Pudukkottai,Tamil Nadu,4644,"16,18,345"
Pulwama,Jammu and Kashmir,1086,"5,60,440"
Punch,Jammu and Kashmir,1674,"4,76,835"
Pune,Maharashtra,15643,"94,29,408"
Purba Champaran,#N/A,3968,"50,99,371"
Purba Medinipur,West Bengal,4713,"50,95,875"
Purbi Singhbhum,Jharkhand,3562,"22,93,919"
Puri,Orissa,3479,"16,98,730"
Purnia,Bihar,3229,"32,64,619"
Puruliya,West Bengal,6259,"29,30,115"
Rae Bareli,Uttar Pradesh,4609,"34,05,559"
Raichur,Karnataka,8442,"19,28,812"
Raigarh,Maharashtra,7086,"14,93,984"
Raigarh,Maharashtra,7152,"26,34,200"
Raipur,Chhattisgarh,12383,"40,63,872"
Raisen,Madhya Pradesh,8466,"13,31,597"
Rajgarh,Madhya Pradesh,6153,"15,45,814"
Rajkot,Gujarat,11198,"38,04,558"
Rajnandgaon,Chhattisgarh,8070,"15,37,133"
Rajouri,Jammu and Kashmir,2630,"6,42,415"
Rajsamand,Rajasthan,4655,"11,56,597"
Ramanagara,Karnataka,3516,"10,82,636"
Ramanathapuram,Tamil Nadu,4104,"13,53,445"
Ramban,Jammu and Kashmir,1329,"2,83,713"
Ramgarh,Jharkhand,1341,"9,49,443"
Rampur,Uttar Pradesh,2367,"23,35,819"
Ranchi,Jharkhand,5097,"29,14,253"
Rangareddy,Andhra Pradesh,7493,"52,96,741"
Ratlam,Madhya Pradesh,4861,"14,55,069"
Ratnagiri,Maharashtra,8208,"16,15,069"
Rayagada,Orissa,7073,"9,67,911"
Reasi,Jammu and Kashmir,1719,"3,14,667"
Rewa,Madhya Pradesh,6314,"23,65,106"
Rewari,Haryana,1594,"9,00,332"
Ribhoi,#N/A,2448,"2,58,840"
Rohtak,Haryana,1745,"10,61,204"
Rohtas,Bihar,3881,"29,59,918"
Rudraprayag,Uttarakhand,1984,"2,42,285"
Rupnagar,Punjab,1356,"6,84,627"
Sabarkantha,Gujarat,7394,"24,28,589"
Sagar,Madhya Pradesh,10252,"23,78,458"
Saharanpur,Uttar Pradesh,3689,"34,66,382"
Saharsa,Bihar,1687,"19,00,661"
Sahibganj,Jharkhand,2063,"11,50,567"
Sahibzada Ajit Singh Nagar,#N/A,1094,"9,94,628"
Saiha,Mizoram,1399,"56,574"
Salem,Tamil Nadu,5237,"34,82,056"
Samastipur,Bihar,2904,"42,61,566"
Samba,Jammu and Kashmir,904,"3,18,898"
Sambalpur,Orissa,6624,"10,41,099"
Sangli,Maharashtra,8572,"28,22,143"
Sangrur,Punjab,3625,"16,55,169"
Sant Kabir Nagar,Uttar Pradesh,1646,"17,15,183"
Sant Ravidas Nagar,Uttar Pradesh,1015,"15,78,213"
Saraikela-Kharsawan,#N/A,2657,"10,65,056"
Saran,Bihar,2641,"39,51,862"
Satara,Maharashtra,10480,"30,03,741"
Satna,Madhya Pradesh,7502,"22,28,935"
Sawai Madhopur,Rajasthan,4498,"13,35,551"
Sehore,Madhya Pradesh,6578,"13,11,332"
Senapati,Manipur,3271,"4,79,148"
Seoni,Madhya Pradesh,8758,"13,79,131"
Serchhip,Mizoram,1421,"64,937"
Shahdol,Madhya Pradesh,6205,"10,66,063"
Shahid Bhagat Singh Nagar,Punjab,1282,"6,12,310"
Shahjahanpur,Uttar Pradesh,4388,"30,06,538"
Shajapur,Madhya Pradesh,6195,"15,12,681"
Sheikhpura,Bihar,689,"6,36,342"
Sheohar,Bihar,349,"6,56,246"
Sheopur,Madhya Pradesh,6606,"6,87,861"
Shimla,Himachal Pradesh,5131,"8,14,010"
Shimoga,Karnataka,8478,"17,52,753"
Shivpuri,Madhya Pradesh,10066,"17,26,050"
Shrawasti,Uttar Pradesh,1640,"11,17,361"
Shupiyan,Jammu and Kashmir,312,"2,66,215"
Siddharthnagar,#N/A,2895,"25,59,297"
Sidhi,Madhya Pradesh,4851,"11,27,033"
Sikar,Rajasthan,7732,"26,77,333"
Simdega,Jharkhand,3774,"5,99,578"
Sindhudurg,Maharashtra,5207,"8,49,651"
Singrauli,Madhya Pradesh,5675,"11,78,273"
Sirmaur,Himachal Pradesh,2825,"5,29,855"
Sirohi,Rajasthan,5136,"10,36,346"
Sirsa,Haryana,4277,"12,95,189"
Sitamarhi,Bihar,2294,"34,23,574"
Sitapur,Uttar Pradesh,5743,"44,83,992"
Sivaganga,Tamil Nadu,4233,"13,39,101"
Sivasagar,Assam,2668,"11,51,050"
Siwan,Bihar,2219,"33,30,464"
Solan,Himachal Pradesh,1936,"5,80,320"
Solapur,Maharashtra,14895,"43,17,756"
Sonbhadra,Uttar Pradesh,6905,"18,62,559"
Sonipat,Haryana,2122,"14,50,001"
Sonitpur,Assam,5204,"19,24,110"
South,#N/A,247,"27,31,929"
South Andaman,Andaman And Nicobar Islands,2672,"2,38,142"
South District,#N/A,750,"1,46,850"
South Garo Hills,Meghalaya,1887,"1,42,334"
South Goa,Goa,1966,"6,40,537"
South Tripura,Tripura,3057,"8,76,001"
South Twenty Four Parganas,West Bengal,9960,"81,61,961"
South West,#N/A,421,"22,92,958"
Sri Potti Sriramulu Nellore,Andhra Pradesh,13076,"29,63,557"
Srikakulam,Andhra Pradesh,5837,"27,03,114"
Srinagar,Jammu and Kashmir,1979,"12,36,829"
Subarnapur,Orissa,2337,"6,10,183"
Sultanpur,Uttar Pradesh,4436,"37,97,117"
Sundargarh,Orissa,9712,"20,93,437"
Supaul,Bihar,2425,"22,29,076"
Surat,Gujarat,4549,"60,81,322"
Surendranagar,Gujarat,10423,"17,56,268"
